"id","window_start","window_end","window_setting","number_of_cores","number_of_threads","latency","throughput","created_at"
1,"1762953060","1762953120","tumbling_1 minutes","4","1","0.429","153.84616","2025-11-12 13:15:49.491507+00"
2,"1762953120","1762953180","tumbling_1 minutes","4","1","0.589","113.75212","2025-11-12 13:15:49.500149+00"
3,"1762953180","1762953240","tumbling_1 minutes","4","1","0.62","106.451614","2025-11-12 13:15:49.501273+00"
4,"1762953240","1762953300","tumbling_1 minutes","4","1","0.341","196.48094","2025-11-12 13:15:49.502423+00"
5,"1762953300","1762953360","tumbling_1 minutes","4","1","0.117","564.10254","2025-11-12 13:16:00.514206+00"
6,"1762953360","1762953420","tumbling_1 minutes","4","1","0.868","77.18894","2025-11-12 13:17:01.670167+00"
7,"1762953420","1762953480","tumbling_1 minutes","4","1","0.118","559.322","2025-11-12 13:18:00.442982+00"
8,"1762953480","1762953540","tumbling_1 minutes","4","1","0.338","198.22485","2025-11-12 13:19:01.058232+00"
9,"1762953540","1762953600","tumbling_1 minutes","4","1","0.465","141.93549","2025-11-12 13:20:00.682901+00"
10,"1762953600","1762953660","tumbling_1 minutes","4","1","0.403","166.2531","2025-11-12 13:21:01.031788+00"
11,"1762953660","1762953720","tumbling_1 minutes","4","1","0.19","347.3684","2025-11-12 13:22:00.329031+00"
12,"1762953720","1762953780","tumbling_1 minutes","4","1","0.658","101.82371","2025-11-12 13:23:01.202275+00"
13,"1762953780","1762953840","tumbling_1 minutes","4","1","0.572","115.38461","2025-11-12 13:24:00.621858+00"
14,"1762953840","1762953900","tumbling_1 minutes","4","1","0.267","250.93633","2025-11-12 13:25:00.738654+00"
15,"1762953900","1762953960","tumbling_1 minutes","4","1","0.346","193.64162","2025-11-12 13:26:01.215935+00"
16,"1762953960","1762954020","tumbling_1 minutes","4","1","1.272","51.88679","2025-11-12 13:27:01.654048+00"
17,"1762954020","1762954080","tumbling_1 minutes","4","1","0.402","166.66667","2025-11-12 13:28:01.192606+00"
18,"1762954080","1762954140","tumbling_1 minutes","4","1","0.588","112.244896","2025-11-12 13:29:00.884222+00"
19,"1762954140","1762954200","tumbling_1 minutes","4","1","0.227","295.15417","2025-11-12 13:30:00.936836+00"
20,"1762954200","1762954260","tumbling_1 minutes","4","1","0.23","286.9565","2025-11-12 13:31:00.438269+00"
21,"1762954260","1762954320","tumbling_1 minutes","4","1","0.122","549.1803","2025-11-12 13:32:00.741849+00"
22,"1762954320","1762954380","tumbling_1 minutes","4","1","0.278","237.41006","2025-11-12 13:33:00.406633+00"
23,"1762954380","1762954440","tumbling_1 minutes","4","1","0.165","406.0606","2025-11-12 13:34:00.686688+00"
24,"1762954440","1762954500","tumbling_1 minutes","4","1","0.195","338.46155","2025-11-12 13:35:00.226861+00"
25,"1762954500","1762954560","tumbling_1 minutes","4","1","0.673","99.55424","2025-11-12 13:36:01.110145+00"
26,"1762954560","1762954620","tumbling_1 minutes","4","1","0.179","374.30167","2025-11-12 13:37:01.019416+00"
27,"1762954620","1762954680","tumbling_1 minutes","4","1","0.502","131.4741","2025-11-12 13:38:00.842467+00"
28,"1762954680","1762954740","tumbling_1 minutes","4","1","0.142","471.831","2025-11-12 13:39:00.884128+00"
29,"1762954740","1762954800","tumbling_1 minutes","4","1","0.417","158.27338","2025-11-12 13:40:00.66964+00"
30,"1762954800","1762954860","tumbling_1 minutes","4","1","0.387","173.12662","2025-11-12 13:41:01.053558+00"
31,"1762954860","1762954920","tumbling_1 minutes","4","1","0.184","358.69565","2025-11-12 13:42:00.365594+00"
32,"1762954920","1762954980","tumbling_1 minutes","4","1","0.254","263.77954","2025-11-12 13:43:00.848007+00"
33,"1762954980","1762955040","tumbling_1 minutes","4","1","0.359","183.84401","2025-11-12 13:44:00.460965+00"
34,"1762955040","1762955100","tumbling_1 minutes","4","1","1.058","63.327034","2025-11-12 13:45:01.569107+00"
35,"1762955100","1762955160","tumbling_1 minutes","4","1","0.638","105.01567","2025-11-12 13:46:01.555069+00"
36,"1762955160","1762955220","tumbling_1 minutes","4","1","0.689","95.791","2025-11-12 13:47:01.112206+00"
37,"1762955220","1762955280","tumbling_1 minutes","4","1","0.176","380.68182","2025-11-12 13:48:01.009549+00"
38,"1762955280","1762955340","tumbling_1 minutes","4","1","0.371","177.89757","2025-11-12 13:49:00.698778+00"
39,"1762955340","1762955400","tumbling_1 minutes","4","1","0.166","403.61447","2025-11-12 13:50:00.893275+00"
40,"1762955400","1762955460","tumbling_1 minutes","4","1","0.439","150.34169","2025-11-12 13:51:00.670572+00"
41,"1762955460","1762955520","tumbling_1 minutes","4","1","0.262","255.72519","2025-11-12 13:52:00.912373+00"
42,"1762955520","1762955580","tumbling_1 minutes","4","1","0.131","503.8168","2025-11-12 13:53:00.275566+00"
43,"1762955580","1762955640","tumbling_1 minutes","4","1","0.585","114.529915","2025-11-12 13:54:01.140899+00"
44,"1762955640","1762955700","tumbling_1 minutes","4","1","0.145","455.17242","2025-11-12 13:55:00.200319+00"
45,"1762955700","1762955760","tumbling_1 minutes","4","1","0.475","141.05263","2025-11-12 13:56:00.925117+00"
46,"1762955760","1762955820","tumbling_1 minutes","4","1","0.412","162.62135","2025-11-12 13:57:01.274324+00"
47,"1762955820","1762955880","tumbling_1 minutes","4","1","0.641","102.96412","2025-11-12 13:58:01.035905+00"
48,"1762955880","1762955940","tumbling_1 minutes","4","1","0.57","117.54386","2025-11-12 13:59:01.362097+00"
49,"1762955940","1762956000","tumbling_1 minutes","4","1","0.338","195.26627","2025-11-12 14:00:00.638811+00"
50,"1762956000","1762956060","tumbling_1 minutes","4","1","0.122","549.1803","2025-11-12 14:01:00.845975+00"
51,"1762956060","1762956120","tumbling_1 minutes","4","1","1.179","55.979645","2025-11-12 14:02:01.410001+00"
52,"1762956120","1762956180","tumbling_1 minutes","4","1","0.421","159.1449","2025-11-12 14:03:01.061239+00"
53,"1762956180","1762956240","tumbling_1 minutes","4","1","0.119","554.6218","2025-11-12 14:04:00.254835+00"
54,"1762956240","1762956300","tumbling_1 minutes","4","1","0.733","91.40518","2025-11-12 14:05:01.285427+00"
55,"1762956300","1762956360","tumbling_1 minutes","4","1","0.297","222.22223","2025-11-12 14:06:00.347442+00"
56,"1762956360","1762956420","tumbling_1 minutes","4","1","0.509","131.63065","2025-11-12 14:07:00.977845+00"
57,"1762956420","1762956480","tumbling_1 minutes","4","1","0.418","160.28708","2025-11-12 14:08:01.284759+00"
58,"1762956480","1762956540","tumbling_1 minutes","4","1","0.5","132","2025-11-12 14:09:00.876721+00"
59,"1762956540","1762956600","tumbling_1 minutes","4","1","0.328","204.2683","2025-11-12 14:10:01.109471+00"
60,"1762956600","1762956660","tumbling_1 minutes","4","1","0.164","402.43903","2025-11-12 14:11:00.452264+00"
61,"1762956660","1762956720","tumbling_1 minutes","4","1","0.353","189.8017","2025-11-12 14:12:01.049028+00"
62,"1762956720","1762956780","tumbling_1 minutes","4","1","0.632","104.43038","2025-11-12 14:13:00.824256+00"
63,"1762956780","1762956840","tumbling_1 minutes","4","1","0.55","121.818184","2025-11-12 14:14:01.157761+00"
64,"1762956840","1762956900","tumbling_1 minutes","4","1","0.696","94.82758","2025-11-12 14:15:00.804127+00"
65,"1762956900","1762956960","tumbling_1 minutes","4","1","0.266","251.8797","2025-11-12 14:16:00.777274+00"
66,"1762956960","1762957020","tumbling_1 minutes","4","1","0.37","181.08109","2025-11-12 14:17:01.287171+00"
67,"1762957020","1762957080","tumbling_1 minutes","4","1","0.445","148.3146","2025-11-12 14:18:00.867375+00"
68,"1762957080","1762957140","tumbling_1 minutes","4","1","0.488","137.29507","2025-11-12 14:19:01.316209+00"
69,"1762957140","1762957200","tumbling_1 minutes","4","1","1.278","51.643192","2025-11-12 14:20:01.608116+00"
70,"1762957200","1762957260","tumbling_1 minutes","4","1","0.602","111.295685","2025-11-12 14:21:01.339917+00"
71,"1762957260","1762957320","tumbling_1 minutes","4","1","0.329","200.60791","2025-11-12 14:22:00.565764+00"
72,"1762957320","1762957380","tumbling_1 minutes","4","1","0.42","159.5238","2025-11-12 14:23:01.057981+00"
73,"1762957380","1762957440","tumbling_1 minutes","4","1","0.42","157.14285","2025-11-12 14:24:00.573636+00"
74,"1762957440","1762957500","tumbling_1 minutes","4","1","0.269","249.07063","2025-11-12 14:25:00.823567+00"
75,"1762957500","1762957560","tumbling_1 minutes","4","1","0.592","111.48649","2025-11-12 14:26:00.648022+00"
76,"1762957560","1762957620","tumbling_1 minutes","4","1","0.149","449.66443","2025-11-12 14:27:00.617361+00"
77,"1762957620","1762957680","tumbling_1 minutes","4","1","0.532","125.93985","2025-11-12 14:28:01.406717+00"
78,"1762957680","1762957740","tumbling_1 minutes","4","1","0.516","127.906975","2025-11-12 14:29:00.888194+00"
79,"1762957740","1762957800","tumbling_1 minutes","4","1","0.213","314.554","2025-11-12 14:30:00.985059+00"
80,"1762957800","1762957860","tumbling_1 minutes","4","1","0.29","227.58621","2025-11-12 14:31:00.567728+00"
81,"1762957860","1762957920","tumbling_1 minutes","4","1","0.191","350.78534","2025-11-12 14:32:00.880891+00"
82,"1762957920","1762957980","tumbling_1 minutes","4","1","0.118","559.322","2025-11-12 14:33:00.302773+00"
83,"1762957980","1762958040","tumbling_1 minutes","4","1","0.637","105.180534","2025-11-12 14:34:01.246545+00"
84,"1762958040","1762958100","tumbling_1 minutes","4","1","0.84","78.57143","2025-11-12 14:35:00.972358+00"
85,"1762958100","1762958160","tumbling_1 minutes","4","1","0.164","408.5366","2025-11-12 14:36:00.700458+00"
